Block,Reward360,Reward180,Reward90,RewardFlexible
264008,646490153570224112641664,484867615177668084481248,323245076785112056320832,161622538392556028160416
265008,648955810920424846064480,486716858190318634548360,324477905460212423032240,162238952730106211516120
266008,651420859992236499888694,488565644994177374916520,325710429996118249944347,162855214998059124972173
267008,653885300968115253733597,490413975726086440300198,326942650484057626866798,163471325242028813433399
268008,656349134030462501733996,492261850522846876300497,328174567015231250866998,164087283507615625433499
269008,658812359361624976571806,494109269521218732428854,329406179680812488285903,164703089840406244142951
270008,661274977143894654628363,495956232857920990971272,330637488571947327314181,165318744285973663657090
271008,663736987559508901903942,497802740669631676427957,331868493779754450951971,165934246889877225475985
272008,666198390790650357282145,499648793092987767961609,333099195395325178641072,166549597697662589320536
273008,668659187019447071153442,501494390264585303365081,334329593509723535576721,167164796754861767788360
274008,671119376427972395975530,503339532320979296981647,335559688213986197987765,167779844106993098993882
275008,673578959198245154080787,505184219398683865560590,336789479599122577040393,168394739799561288520196
276008,676037935512229477164794,507028451634172107873595,338018967756114738582397,169009483878057369291198
277008,678496305551835010573666,508872229163876257930249,339248152775917505286833,169624076387958752643416
278008,680954069498916760088558,510715552124187570066418,340477034749458380044279,170238517374729190022139
279008,683411227535275223253228,512558420651456417439921,341705613767637611626614,170852806883818805813307
280008,685867779842656338302212,514400834881992253726659,342933889921328169151106,171466944960664084575553
281008,688323726602751549824601,516242794952063662368451,344161863301375774912300,172080931650687887456150
282008,690779067997197823356000,518084300997898367517000,345389533998598911678000,172694766999299455839000
283008,693233804207577565122786,519925353155683173842089,346616902103788782561393,173308451051894391280696
284008,695687935415418804441515,521765951561564103331136,347843967707709402220757,173921983853854701110378
285008,698141461802195062391346,523606096351646296793509,349070730901097531195673,174535365450548765597836
286008,700594383549325453957713,525445787661994090468285,350297191774662726978856,175148595887331363489428
287008,703046700838174651552441,527285025628630988664331,351523350419087325776220,175761675209543662888110
288008,705498413850052957973507,529123810387539718480130,352749206925026478986753,176374603462513239493376
289008,707949522766216277221136,530962142074662207915852,353974761383108138610568,176987380691554069305284
290008,710400027767866129089753,532800020825899596817315,355200013883933064544876,177600006941966532272438
291008,712849929036149707535793,534637446777112280651845,356424964518074853767896,178212482259037426883948
292008,715299226752159822309891,536474420064119866732418,357649613376079911154945,178824806688039955577472
293008,717747921096935052172380,538310940822701289129285,358873960548467526086190,179436980274233763043095
294008,720196012251459569789865,540147009188594677342399,360098006125729784894932,180049003062864892447466
295008,722643500396663346022554,541982625297497509516915,361321750198331673011277,180660875099165836505638
296008,725090385713422025892663,543817789285066519419497,362545192856711012946331,181272596428355506473165
297008,727536668382557023432107,545652501286917767574080,363768334191278511716053,181884167095639255858026
298008,729982348584835492498596,547486761438626619373947,364991174292417746249298,182495587146208873124649
299008,732427426500970407031369,549320569875727805273527,366213713250485203515684,183106856625242601757842
300008,734871902311620509979365,551153926733715382484523,367435951155810254989682,183717975577905127494841
301008,737315776197390335189147,552986832148042751391860,368657888098695167594573,184328944049347583797286
302008,739759048338830273068692,554819286254122704801519,369879524169415136534346,184939762084707568267173
303008,742201718916436548699458,556651289187327411524594,371100859458218274349729,185550429729109137174864
304008,744643788110651229132365,558482841082988421849274,372321894055325614566182,186160947027662807283091
305008,747085256101862303643527,560313942076396727732645,373542628050931151821763,186771314025465575910881
306008,749526123070403581590588,562144592302802686192941,374763061535201790795294,187381530767600895397647
307008,751966389196554860220175,563974791897416145165131,375983194598277430110087,187991597299138715055043
308008,754406054660541793340327,565804540995406345005245,377203027330270896670163,188601513665135448335081
309008,756845119642536022648061,567633839731902016986046,378422559821268011324030,189211279910634005662015
310008,759283584322655097473642,569462688241991323105231,379641792161327548736821,189820896080663774368410
311008,761721448880962613404120,571291086660721960053090,380860724440481306702060,190430362220240653351030
312008,764158713497468066363818,573119035123101049772863,382079356748734033181909,191039678374367016590954
313008,766595378352127035013726,574946533764095276260294,383297689176063517506863,191648844588031758753431
314008,769031443624841071311863,576773582718630803483897,384515721812420535655931,192257860906210267827965
315008,771466909495457780769016,578600182121593335576762,385733454747728890384508,192866727373864445192254
316008,773901776143770829744711,580426332107828122308533,386950888071885414872355,193475444035942707436177
317008,776336043749519945447219,582252032812139959085414,388168021874759972723609,194084010937379986361804
318008,778769712492390930525504,584077284369293197894128,389384856246195465262752,194692428123097732631376
319008,781202782552015728733007,585902086914011796549755,390601391276007864366503,195300695638003932183251
320008,783635254107972337375938,587726440580979253031953,391817627053986168687969,195908813526993084343984
321008,786067127339784960528769,589550345504838720396577,393033563669892480264384,196516781834946240132192
322008,788498402426923892298620,591373801820192919223965,394249201213461946149310,197124600606730973074655
323008,790929079548805655448801,593196809661604241586600,395464539774402827724400,197732269887201413862200
324008,793359158884792884663197,595019369163594663497398,396679579442396442331598,198339789721198221165799
325008,795788640614194487057744,596841480460645865293308,397894320307097243528872,198947160153548621764436
326008,798217524916265518148830,598663143687199138611623,399108762458132759074415,199554381229066379537207
327008,800645811970207305884895,600484358977655479413671,400322905985103652942447,200161452992551826471223
328008,803073501955167414166543,602305126466375560624907,401536750977583707083271,200768375488791853541635
329008,805500595050239686622407,604125446287679764966805,402750297525119843311203,201375148762559921655601
330008,807927091434464210129262,605945318575848157596946,403963545717232105064631,201981772858616052532315
331008,810352991286827395067764,607764743465120546300823,405176495643413697533882,202588247821706848766941
332008,812778294786261975322453,609583721089696481491839,406389147393130987661226,203194573696565493830613
333008,815203002111646979097842,611402251583735234323382,407601501055823489548921,203800750527911744774460
334008,817627113441807794582210,613220335081355845936657,408813556720903897291105,204406778360451948645552
335008,820050628955516184539547,615037971716637138404660,410025314477758092269773,205012657238879046134886
336008,822473548831490264421629,616855161623617698316222,411236774415745132210814,205618387207872566105407
337008,824895873248394560735828,618671904936295920551871,412447936624197280367914,206223968312098640183957
338008,827317602384840003749134,620488201788630002811850,413658801192420001874567,206829400596210000937283
339008,829738736419383942080106,622304052314537956560079,414869368209691971040053,207434684104845985520026
340008,832159275530530171882780,624119456647897628912085,416079637765265085941390,208039818882632542970695
341008,834579219896728929550689,625934414922546697163016,417289609948364464775344,208644804974182232387672
342008,836998569696376957380651,627748927272282718035488,418499284848188478690325,209249642424094239345162
343008,839417325107817459796910,629562993830863094847682,419708662553908729898455,209854331276954364949227
344008,841835486309340139831020,631376614732005104873265,420917743154670069915510,210458871577335034957755
345008,844253053479181279377576,633189790109385959533182,422126526739590639688788,211063263369795319844394
346008,846670026795523607866651,635002520096642705899988,423335013397761803933325,211667506698880901966662
347008,849086406436496462775265,636814804827372347081448,424543203218248231387632,212271601609124115693816
348008,851502192580175775035436,638626644435131831276577,425751096290087887517718,212875548145043943758859
349008,853917385404583996074417,640438039053437997055813,426958692702291998037208,213479346351145999018604
350008,856331985087690199958363,642248988815767649968772,428165992543845099979181,214082996271922549989590
351008,858745991807410127168187,644059493855557595376140,429372995903705063584093,214686497951852531792046
352008,861159405741606082455893,645869554306204561841920,430579702870803041227946,215289851435401520613973
353008,863572227068087066172148,647679170301065299629111,431786113534043533086074,215893056767021766543037
354008,865984455964608715898472,649488341973456536923854,432992227982304357949236,216496113991152178974618
355008,868396092608873379407000,651297069456655034555250,434198046304436689703500,217099023152218344851750
356008,870807137178530078180600,653105352883897558635450,435403568589265039090300,217701784294632519545150
357008,873217589851174543892755,654913192388380907919566,436608794925587271946377,218304397462793635973188
358008,875627450804349254887442,656720588103261941165582,437813725402174627443721,218906862701087313721860
359008,878036720215543428883158,658527540161657571662368,439018360107771714441579,219509180053885857220789
360008,880445398262193044860845,660334048696644783645634,440222699131096522430422,220111349565548261215211
361008,882853485121680850359870,662140113841260637769902,441426742560840425179935,220713371280420212589967
